average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
11.364,20.164,51.805,122.84,241.007,372.174,440.048,405.362,310.06,216.162,143.735,94.585,59.544,37.519,23.064,14.448,8.607,5.473,3.549,2.292,1.689,1.343,1.35,1.333,1.433,1.594,1.793,2.059,2.344,2.871,3.315,3.905,4.617,5.265,6.102,6.876,7.85,8.819,9.859,10.997,11.759,12.56,13.183,13.646,13.391,13.592,13.453,12.834,12.173,11.291,2797.098,5000,4,5000,50,1000,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.557,20.132,51.965,122.625,245.103,387.201,470.368,450.095,364.813,269.93,194.625,140.144,102.195,76.536,58.729,46.111,36.932,29.855,24.22,19.192,15.16,12.16,10.245,9.068,8.382,7.741,7.539,6.839,6.666,6.415,6.151,5.785,5.305,4.904,4.437,4.229,3.891,3.589,3.406,3.092,2.93,2.805,2.63,2.557,2.517,2.41,2.368,2.193,2.239,2.015,3281.996,5000,4,5000,50,1000,false
11.489,20.65,52.411,124.582,249.136,391.002,472.677,448.636,362.235,267.565,192.103,138.587,101.174,75.921,59.017,46.14,37.244,29.943,23.944,19.184,15.15,12.233,10.315,9.182,8.414,7.579,7.28,6.968,6.69,6.288,6.122,5.651,5.483,4.939,4.51,4.142,3.837,3.58,3.294,3.208,2.992,2.706,2.566,2.583,2.438,2.442,2.231,2.256,2.137,2,3282.856,5000,4,5000,50,1000,false
10.284,13.582,27.877,57.826,116.596,211.226,333.202,435.958,464.439,401.498,294.418,193.992,121.034,74.766,45.658,28.113,17.053,10.291,6.328,3.952,2.567,1.813,1.414,1.312,1.328,1.591,1.97,2.406,3.083,3.856,4.844,5.997,7.328,8.808,10.205,11.779,12.892,13.969,14.065,14.176,13.672,13.137,11.76,10.931,9.573,8.353,7.535,6.399,5.553,4.93,3085.339,5000,4,0,50,1000,true
10.506,13.267,28.167,58.83,116.726,210.457,331.405,434.877,461.117,400.0,295.236,195.905,122.412,75.89,46.598,28.504,17.229,10.635,6.414,4.127,2.559,1.888,1.391,1.306,1.41,1.646,1.992,2.472,3.11,3.689,4.808,5.785,7.435,8.816,10.375,11.79,12.817,13.807,14.122,14.133,13.718,12.672,11.906,10.722,9.666,8.465,7.5,6.503,5.745,5.07,3085.62,5000,4,500,50,1000,true
10.449,13.627,28.57,60.187,118.361,214.374,336.154,439.395,462.463,397.767,290.662,191.089,120.136,73.484,45.486,27.696,16.908,10.054,6.159,3.907,2.571,1.812,1.391,1.284,1.391,1.591,1.963,2.503,3.038,3.745,4.646,5.972,7.415,9.034,10.333,11.869,13.144,13.779,14.279,14.273,13.661,12.846,11.923,10.793,9.622,8.492,7.447,6.478,5.552,5.012,3084.787,5000,4,1000,50,1000,true
10.208,13.209,27.934,57.703,114.918,209.161,328.446,434.15,463.545,404.121,296.901,195.864,123.425,75.307,46.443,28.384,17.642,10.415,6.371,4.142,2.673,1.832,1.414,1.253,1.443,1.633,2.015,2.532,3.13,3.899,4.925,6.042,7.401,9.039,10.39,11.835,12.759,13.618,14.085,14.318,13.607,12.919,11.74,10.778,9.406,8.204,7.382,6.295,5.641,4.96,3085.457,5000,4,1500,50,1000,true
10.292,13.35,27.813,57.622,116.243,209.248,330.293,433.223,460.942,401.207,295.898,195.871,122.561,75.507,46.33,28.639,17.132,10.482,6.629,4.118,2.65,1.859,1.484,1.377,1.403,1.648,2.07,2.499,3.125,3.877,4.861,6.143,7.398,8.978,10.505,11.805,12.976,13.855,14.163,14.257,13.741,12.721,12.027,10.879,9.342,8.566,7.459,6.596,5.705,4.963,3082.332,5000,4,2000,50,1000,true
10.27,13.007,27.684,57.177,113.975,207.439,326.548,431.787,464.743,402.764,298.769,198.187,123.847,76.444,47.094,28.911,17.505,10.561,6.543,4.097,2.803,1.84,1.489,1.315,1.379,1.58,1.968,2.405,3.075,3.923,4.766,5.985,7.383,8.836,10.219,11.719,12.7,13.846,14.227,13.977,13.717,12.769,12.055,10.82,9.705,8.55,7.381,6.542,5.648,4.945,3084.919,5000,4,2500,50,1000,true
10.35,13.334,27.905,57.997,115.771,209.487,329.519,432.203,460.855,400.949,297.431,196.573,123.729,75.793,46.88,28.524,17.43,10.5,6.566,4.163,2.685,1.848,1.467,1.341,1.452,1.588,2.035,2.489,3.125,3.831,4.815,6.002,7.465,8.993,10.187,11.835,12.772,13.647,14.072,14.261,13.69,12.978,11.996,10.851,9.677,8.65,7.421,6.546,5.598,4.869,3084.145,5000,4,3000,50,1000,true
10.365,13.62,28.062,59.123,117.273,211.005,331.608,436.787,463.122,401.722,293.678,193.371,120.9,74.199,45.41,28.232,17.004,10.383,6.176,3.944,2.595,1.827,1.389,1.292,1.32,1.54,1.861,2.578,3.129,3.787,4.872,6.052,7.323,8.8,10.425,11.716,12.906,13.832,14.255,14.098,13.822,13.118,11.845,10.788,9.626,8.571,7.432,6.475,5.769,4.892,3083.919,5000,4,3500,50,1000,true
10.563,13.759,28.701,59.88,119.076,215.16,335.717,437.368,459.412,396.142,292.504,192.264,120.208,74.068,45.769,27.967,16.802,10.231,6.184,3.985,2.603,1.84,1.464,1.324,1.393,1.621,2.041,2.495,3.212,3.91,4.827,6.018,7.487,9.039,10.65,11.905,13.055,13.883,14.333,14.242,13.592,12.939,11.941,10.639,9.544,8.29,7.268,6.396,5.559,4.94,3084.21,5000,4,4000,50,1000,true
10.317,13.143,28.006,58.33,116.153,211.426,331.19,434.742,463.138,400.236,294.593,194.96,122.596,74.659,45.729,27.96,17.327,10.36,6.383,4.017,2.671,1.767,1.46,1.234,1.405,1.613,1.958,2.534,3.094,3.873,4.84,6.002,7.207,8.718,10.253,11.764,12.995,13.703,14.2,14.119,13.841,13.149,11.831,10.804,9.766,8.519,7.393,6.448,5.488,4.998,3082.912,5000,4,4500,50,1000,true
10.382,13.045,27.544,57.463,113.932,206.774,328.159,432.822,461.363,403.214,298.585,198.678,123.895,76.854,47.575,28.944,17.448,10.818,6.38,4.193,2.828,1.904,1.434,1.332,1.444,1.647,2.084,2.432,3.088,4.022,4.928,5.982,7.485,9.009,10.645,11.738,12.893,13.826,14.183,14.133,13.641,12.81,11.83,10.724,9.526,8.474,7.3,6.39,5.581,4.866,3086.247,5000,4,5000,50,1000,true
