average daily cases day 1,average daily cases day 2,average daily cases day 3,average daily cases day 4,average daily cases day 5,average daily cases day 6,average daily cases day 7,average daily cases day 8,average daily cases day 9,average daily cases day 10,average daily cases day 11,average daily cases day 12,average daily cases day 13,average daily cases day 14,average daily cases day 15,average daily cases day 16,average daily cases day 17,average daily cases day 18,average daily cases day 19,average daily cases day 20,average daily cases day 21,average daily cases day 22,average daily cases day 23,average daily cases day 24,average daily cases day 25,average daily cases day 26,average daily cases day 27,average daily cases day 28,average daily cases day 29,average daily cases day 30,average daily cases day 31,average daily cases day 32,average daily cases day 33,average daily cases day 34,average daily cases day 35,average daily cases day 36,average daily cases day 37,average daily cases day 38,average daily cases day 39,average daily cases day 40,average daily cases day 41,average daily cases day 42,average daily cases day 43,average daily cases day 44,average daily cases day 45,average daily cases day 46,average daily cases day 47,average daily cases day 48,average daily cases day 49,average daily cases day 50,sum,N,I,P,T,runNumb,uniform
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3,18.8,50.8,115.3,281.2,636.8,1191.8,1832.3,2163.8,1953.7,1422.3,889.3,526.2,284.7,174.8,102.2,56.8,33.2,19.3,13.1,8.1,4.4,3.6,1.7,2.9,3.4,4.5,5.5,6.8,9,10.2,13.1,17.8,22.4,26.8,32.3,36.6,39.6,47.6,49.8,47.3,43.4,48.7,42.5,40.7,34.5,28.4,27.4,22.9,19.7,12479.3,20000,4,0,50,10,true
9.8,17.3,46.1,116.9,288.8,662.4,1334.3,2047,2354,1946.3,1276.1,739.4,421.8,236.2,136.8,82.5,44.1,28,14.1,9.9,6.3,2.4,2.3,1.7,2.1,2.9,4.4,3.6,6.1,7.8,9.2,10.5,13.9,19.6,24.5,29.3,38.1,38.7,42.7,45.5,44.8,52.9,48.6,44.8,39.4,34.3,28.4,26.3,22.9,20.1,12485.9,20000,4,2000,50,10,true
13.5,23.3,55,142.8,338.7,721.2,1409.8,2086.5,2285.7,1835.5,1215.4,711.8,397.6,217.1,129.5,76.1,44.2,22.7,14.4,9.8,5,4,2.3,1.9,2.4,3.4,3.4,4,4.9,7.2,8.7,10.7,15.9,18.4,24.3,27.1,33.8,41,42.6,49.2,50.6,50.6,50.9,44.9,41.1,35.5,35,28,26.6,19.4,12443.4,20000,4,4000,50,10,true
13,21,57.8,148.1,359.9,792.4,1505.1,2193.5,2307.5,1765.5,1107.4,628.3,359.9,209.7,118.5,69.2,38.1,21.7,12.4,6.6,4.9,2.9,3,1.7,2.5,2.9,3.4,3.4,4.1,7,8.1,10.9,14.4,17.2,22.1,24.7,35.9,40.5,41.9,48.2,46.2,50.7,47,44.8,43.5,36,33.7,31.1,28.8,19.5,12416.6,20000,4,6000,50,10,true
11.6,16.1,44.4,112.2,274.3,624,1233.3,1900.8,2254.1,1925.2,1326.1,772,460.3,268.8,153.4,94.2,55.5,30.8,18.4,10.1,5.8,5.1,3.3,2.4,2.4,3.1,2,4.2,4.5,6.9,7.4,12,12.1,16.7,22.5,25.1,31.3,39.4,45.9,48,50.9,49.8,49.3,48.9,45.1,40.4,36.9,37.3,28.9,28.7,12301.9,20000,4,8000,50,10,true
14.4,22.1,66.6,144.9,375.7,838.4,1523.2,2184.2,2232.9,1676.3,1070.4,603.6,343.1,206,119.8,73.7,42.4,21.7,12.4,6.5,4.2,2.6,2.1,2.8,2.3,2.4,3.6,3.4,4.7,7.6,7.3,7.9,13.3,15.9,22.2,23.6,31.7,36.8,36.5,49.1,48.2,52.3,53.8,47.8,44,42.5,42.7,35.7,29.5,30.2,12285,20000,4,10000,50,10,true
12,17.1,51.6,119.1,296.3,653.2,1239.2,1827.3,2090.6,1848,1296,807.9,477.2,287.7,170.4,96.4,58.3,36,20.9,13.2,6.9,3.6,2.4,2,2.5,3.5,3.3,3,4.1,6.5,7.9,10.2,9.5,16.2,19.2,22.6,25.9,31.5,38.1,42.4,44.9,52,48.4,52.3,50.8,49.4,45,42.6,35.8,33.3,12134.2,20000,4,12000,50,10,true
12.7,15.7,49.5,125.6,302.8,648.6,1252.6,1926.4,2163.6,1801,1230.2,730.1,450.5,264.1,157.5,95.6,50.6,30.8,19.6,11.3,4.6,4.7,3.4,2.9,2.5,3.7,2.8,4.2,3.7,5.3,7.5,8.4,11.4,12.9,14.7,21.5,24.6,30.3,34.1,36.8,39.7,43.1,49.8,49.5,49,50.4,49.1,41.3,39.2,41.2,12031.1,20000,4,14000,50,10,true
15,24.2,65.1,162.2,366.8,764.1,1389.4,1999.8,2130.6,1659.9,1082.5,636.5,381.8,231.6,141.5,81.2,49.1,28.3,15.5,8.9,7.2,3.3,3.1,2,2.5,3.8,3.6,3.9,5.3,7.5,9.2,10.9,14,16.8,20.2,26.1,36.3,34.8,45.7,48.5,52.3,52.8,50,52.9,52.9,49.3,47.9,39.4,36.5,30.8,12003.5,20000,4,16000,50,10,true
11.2,21.8,47.8,130.5,307.5,681,1296.2,1932.5,2133.1,1721,1130.8,675.6,422.2,259.1,157.8,88.3,50.8,30.2,15.2,10.7,6.7,4.6,3.3,3.5,3.6,4.4,4.6,4,6.4,6.8,10.4,11.2,14.6,16,20.8,22.1,31,33.6,40.1,39.4,48.4,52.5,54.9,57.5,51.8,54.3,48.8,48.1,42.4,38.4,11907.5,20000,4,18000,50,10,true
13.6,25.6,59.3,157.8,363.2,780.8,1448.9,1986.5,2019.2,1572.7,1016.9,621.8,393.1,232.2,144.2,81.4,48.7,30,16.1,10.4,5.8,4.9,2.5,3.2,3.1,2.9,4.3,5.8,6.4,7.4,10.5,10.6,11.3,16.8,21.4,22.5,24.5,28.9,34.3,38.6,45.5,50.8,47,50.2,55,48.1,49.1,45.4,41.7,37.5,11758.4,20000,4,20000,50,10,true
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2,27,86.2,266.1,707.1,1484.1,2215.8,2287.7,1705.2,1140.9,708,412.6,251.2,143.6,78,42.7,24,14.5,9.1,5.8,4.2,2.9,2.1,3,3,2.7,5.4,6,9.4,10.3,13.6,17,25.6,27.1,31.9,41.9,47.3,51.8,52.8,51.4,54.7,49.5,50.7,42.2,38.6,38.3,33.1,24.4,23.3,18.8,12406.8,20000,4,0,50,10,false
12.3,28.1,94.3,267.9,709.3,1377.1,2026.9,2189.8,1774.3,1199.7,771.6,456.5,268.1,156.5,90.5,52.4,30.4,18.3,10.7,5.4,3.9,2.7,2.9,2.2,3.6,4.7,5.5,5.1,7.6,11.9,12.8,15.6,20.9,26.4,27.8,35.3,39.6,45.3,49.9,53.7,50,50.1,53.4,46.5,40.1,40.5,35.1,32.6,28.2,21.6,12315.6,20000,4,2000,50,10,false
16.1,35.1,132.7,382.4,903,1625,2127.2,2069.7,1582.9,1053.1,648,369.3,227.4,122.6,78.1,40.9,26.8,13.2,6.9,4.3,2.4,2,2.3,3,2.6,3.4,3.5,5.7,6.7,8,12.1,16,17.1,22.3,25.5,31.2,39.3,45.1,51.1,50.7,49.8,54.5,51.9,48.3,44.4,40.2,37.1,34.4,33.2,23.1,12231.6,20000,4,4000,50,10,false
15.3,35,118,359.5,908.5,1768.8,2310.7,2109.6,1503.7,960.3,578.6,339.7,201,113.3,68.8,39.4,21.4,12.8,7.6,3.4,3.2,2.8,1.6,3.5,3.2,5.1,6,6.9,10,11.3,14.1,18.6,23.2,28.6,34.1,41.3,46.6,47.6,52.7,54.7,58.2,59.5,48.1,45.2,39.8,38.3,30.7,29.2,25.1,20.8,12285.4,20000,4,6000,50,10,false
12.4,31.1,103.7,313.8,828.9,1722.7,2342.4,2164.8,1529.3,965.5,586.5,344.8,200.2,110.2,71.9,38.3,22.2,11.5,7.8,5.2,2.6,2.6,2.6,2.2,2.6,3.4,4.8,6.3,5.8,10.8,11.6,13.6,18.1,25.8,29.2,32.7,42.1,43,48.2,48.7,52.8,49.5,46.8,48.4,43.4,39.8,40,33.7,31.2,24.2,12179.7,20000,4,8000,50,10,false
11.3,22,69.9,220.8,593.1,1286.7,2047.4,2235.3,1823,1211.4,723.5,433.1,259.1,154.5,87.2,51.7,29.4,18.1,9.6,6.8,4.9,2.5,3.1,3.2,3.4,2.6,5.5,5.7,5.4,7.6,10.2,14.3,16.2,20.1,23.7,29,33.7,41.4,47.4,52.4,56.3,55.1,57.6,55,53.4,46.4,47.1,40.5,36.2,31.7,12105.5,20000,4,10000,50,10,false
14.6,43,127.4,355,911.5,1756.6,2305.1,2061.1,1451.3,877.6,537.1,325.7,181.3,104.4,62,38.4,22.4,11.9,6.9,5.2,3.7,2.5,2.6,3.1,3.8,4.3,5.5,5.4,7.7,10.4,13.2,15,19.2,21.9,24,33.3,38.5,39,47,50.5,48.6,51.3,52.5,52.8,49.9,45,41.7,33.9,33.2,31.3,11989.3,20000,4,12000,50,10,false
15.6,36.9,123.3,376,961.4,1770.1,2257.9,2028.2,1402,888.2,548.2,308,193.5,115.1,64.4,32.1,19.6,13.8,7.4,3.8,2.1,2.1,2.2,2.7,3.1,3.7,3,5,4.5,7.1,10,12.5,15.2,17.3,22.2,25.3,28.6,35.3,36.1,43.9,47.4,50.6,47,49,54,52.4,48.5,47.5,38.9,38.3,11921,20000,4,14000,50,10,false
16.5,34.2,111,346.7,896,1689.5,2196.9,1956,1435.2,923.5,560,349.3,196.4,120.4,69.1,40.1,24.3,14,7.1,4.8,3,2.3,1.8,2.4,1.4,4,3.4,5.5,3.8,8.2,9,10.7,13,15.4,17.4,22.6,23.7,33.5,36.2,43.8,46.8,48.1,49.3,57.4,53.6,56.3,50.5,48.9,45.3,40.6,11748.9,20000,4,16000,50,10,false
11.8,25.1,79.3,234.4,622.2,1304.8,2004.8,2078.2,1665,1140.4,731.3,440.8,263.5,157.1,91.4,50.7,29.5,17.7,9.3,5.3,3.4,2.5,1.6,1.9,2.7,2.4,3.4,3.8,4.8,5,8.1,9.4,12,14.5,16.8,21.5,25.9,29.8,34.1,40.3,42.1,48.2,54.2,52.2,55.5,58.3,59.2,49.3,48.2,44.4,11718.1,20000,4,18000,50,10,false
14.9,33.4,101.5,334.9,859,1702.6,2246.8,2061.1,1426.7,852.3,518.6,312.7,184.1,102.5,54.3,35.3,19.4,10.1,6.4,4.5,2.5,1.8,2,1.7,2.1,2.4,2.5,4,3.6,4.5,6.5,6.6,9.3,10.5,11.8,15.1,15.3,19.6,22.3,27.3,28.7,31.5,36.4,42,48.5,48.5,54.6,53.8,52.4,49.2,11498.1,20000,4,20000,50,10,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18,46.6,123.2,324.4,706.6,1513,2552.1,3264.9,3153.7,2400.4,1533.4,905.3,507.9,300.9,177.2,101.5,57.3,31.2,17.2,12.6,7.2,5.1,3.2,3.8,4.7,4.7,5.8,7.8,9.6,11.5,18,21.1,26.7,31.3,41.6,50.1,55.9,70,70.2,71.8,66.5,64.9,61.9,60.1,53.3,47.4,42,30,25.7,18730.3,30000,4,0,50,10,true
13.4,28.6,66.5,171.2,425.1,918.8,1795.2,2788.5,3389.6,3040.8,2123.2,1276.5,713.4,409.1,229.8,136.6,77.7,43.3,24.2,15.3,8.7,5,4.4,3.4,3.8,3.5,4.8,6.4,9,10.7,11.1,14.8,20,27.4,33,40.6,49.7,58.3,69.5,71.6,74.4,74.1,72.1,68.6,59.6,54.5,46.6,42.4,31.8,33.1,18699.7,30000,4,3000,50,10,true
12.4,22.4,55,138.1,346.4,805.5,1675,2755.2,3444.9,3117.2,2193.4,1316.7,749.1,417,243.2,148.1,85.3,44,24.4,14,9,5.7,4.1,3.4,3.1,2.8,5,5.3,6.8,8.5,11.9,13.7,21.9,22.1,30.5,38.5,50.4,62.1,67.1,75.5,77.6,77.5,70.5,69.7,66,57.4,51.5,46.4,38.6,35.8,18645.7,30000,4,6000,50,10,true
13.3,26.8,71.1,176.4,451.8,993.2,1995.9,3092.6,3494.3,2908.8,1840.9,1067.5,594.1,340.7,202.7,121.5,64.8,35.8,21.6,11.7,7,4.1,3.1,3.1,3.4,3.5,5.1,6.5,7.2,8.8,13.3,15.2,20.6,24.4,30.3,37.6,47.2,52.6,56.9,68.6,73.2,77.1,76.1,66.3,64.1,60.3,53.7,49.8,43.8,36.1,18544.5,30000,4,9000,50,10,true
14.9,26,65.1,159.2,382.5,838.4,1613.9,2526.8,3123.8,2954.1,2208.7,1417.1,823.8,477.4,296.6,165.3,88.9,56.2,31.9,16.8,10.1,6.1,3.9,3.6,2.3,3.2,2.9,3.8,7.2,8.6,11,11.8,17.1,20.4,27.6,35.3,42,55.5,52.2,64.7,71.6,73.6,69,77.2,71.9,66.8,66.8,55.2,48.4,44.8,18322,30000,4,12000,50,10,true
12.3,19.6,52.1,135,333.3,768.6,1566.3,2640.3,3369,3076.4,2177.1,1317.5,746.1,445.5,268.6,163.4,86.5,49.1,29,16.2,10,5.9,4.1,3.1,4,4.3,4.4,5,7.3,7.2,11.2,15.1,16,25.4,28.6,34,40.6,51.4,59.8,69.4,64.2,75.4,72.3,81.3,74,69.6,66.7,56.7,50.5,45.5,18334.9,30000,4,15000,50,10,true
12.1,24,57.6,142.5,357.8,790,1565.6,2573.4,3152,2958.2,2165.2,1354.7,807.6,478.1,288.2,170.1,98.3,58.6,34.1,17.8,10.5,6,4.9,3.2,5,4.3,4.4,6.3,7.2,8.1,11.7,14.1,17.1,24.7,26.2,35.2,40.8,46,53.4,63.5,70.5,72.4,71.1,76.5,74.8,74.2,68.9,63.8,54.9,48.2,18173.8,30000,4,18000,50,10,true
12.8,21.4,58.6,143,351.3,820.1,1697.9,2817.5,3433.2,2935.9,1933.7,1135.8,680.2,408,237.8,140.5,84,44.5,28.1,14.5,10.1,5,3.7,3.7,3,4.8,6.1,7.8,8.8,11,14.1,18.3,20.1,24.8,31.1,40.7,47.6,54.3,66.2,66.9,76.2,80.5,76.7,77.4,76.4,76.6,70.3,61.6,56.3,50.9,18149.8,30000,4,21000,50,10,true
14.4,20.7,58.3,139.4,341.9,792.9,1556.9,2605.2,3207.2,2885.4,2065.4,1239,762,469.2,281.8,163.3,102.1,58.2,36.1,19,10.9,6.9,5,5.1,4.7,6.1,6.1,6.5,9.2,9.1,12.7,15,15,21,25.4,32.5,37.2,49.3,57.7,63.1,71.7,73.2,80.1,87.2,83.6,80.9,75.1,69.5,64,55.3,17957.5,30000,4,24000,50,10,true
